,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
22,the flash,2023-06-14,"Action, Science fiction, Fantastique",2h 24min,Andy Muschietti,Christina Hodson,"Ezra Miller, Sasha Calle, Michael Shannon",U.S.A.,Warner Bros. France,Box Office France,388700,"2,5","3,0",210441.0,190000000.0
23,il sol dell’avvenire,2023-06-28,"Comédie dramatique, Drame, Comédie",1h 35min,Nanni Moretti,"Francesca Marciano, Nanni Moretti","Nanni Moretti, Margherita Buy, Silvio Orlando",Italie,Le Pacte,Box Office France,91786,"3,9","3,3",100764.0,13266839.0
24,the gentlemen,2020-02-05,"Policier, Action",1h 53min,Guy Ritchie,Guy Ritchie,"Matthew McConaughey, Hugh Grant, Charlie Hunnam",U.S.A.,SND,Box Office France,238040,"3,5","4,1",877638.0,22000000.0
25,insidious: the red door,2023-07-05,"Epouvante-horreur, Fantastique",1h 48min,Patrick Wilson,Scott Teems,"Patrick Wilson, Rose Byrne, Ty Simpkins",U.S.A.,Sony Pictures Releasing France,Box Office France,306107,"2,1","2,2",49967.0,16000000.0
26,sisu,2023-06-21,"Action, Guerre",1h 31min,Jalmari Helander,Jalmari Helander,"Jorma Tommila, Aksel Hennie, Jack Doolan",Finlande,SND,Box Office France,44625,"2,7","3,3",186480.0,6200000.0
27,farang,2023-06-28,Action,1h 39min,Xavier Gens,"Xavier Gens, Magali Rossito","Nassim Lyes, Loryn Nounay, Olivier Gourmet",France,StudioCanal,Box Office France,79426,"3,4","3,7",222289.0,4920000.0
28,il boemo,2023-06-21,"Biopic, Historique",2h 20min,Petr Vaclav,Petr Vaclav,"Vojtěch Dyk, Barbara Ronchi, Elena Radonicich",République tchèque,Nour Films,Box Office France,34803,"4,0","4,0",77006.0,0.0
29,en los márgenes,2023-07-05,Thriller,1h 43min,Juan Diego Botto,"Juan Diego Botto, Olga Rodríguez","Penélope Cruz, Luis Tosar, Christian Checa",Espagne,Condor Distribution,Box Office France,28720,"3,6","3,5",210219.0,0.0
30,une nuit,2023-07-05,"Romance, Drame",1h 30min,Alex Lutz,"Alex Lutz, Karin Viard","Alex Lutz, Karin Viard, Jérôme Pouly",France,StudioCanal,Box Office France,58679,"3,2","3,3",161212.0,0.0
31,asteroid city,2023-06-21,Comédie dramatique,1h 46min,Wes Anderson,Wes Anderson,"Jason Schwartzman, Scarlett Johansson, Tom Hanks",U.S.A.,Universal Pictures International France,Box Office France,117498,"3,3","3,0",145667.0,25000000.0
32,spider-man: across the spider-verse,2023-05-31,"Animation, Action, Fantastique, Aventure",2h 21min,Joaquim Dos Santos,"Kemp Powers, Justin Thompson, Phil Lord, Christopher Miller","Stéphane Bak, Shameik Moore, Shirine Boutella",U.S.A.,Sony Pictures Releasing France,Box Office France,550808,"4,1","4,5",317420.0,100000000.0
33,miraculous - le film,2023-07-05,"Animation, Action, Aventure, Comédie musicale",1h 39min,Jeremy Zag,"Jeremy Zag, Bettina López Mendoza","Anouck Hautbois, Benjamin Bollen, Antoine Tomé",France,SND,Box Office France,660421,"2,7","2,7",177900.0,86000000.0
35,elemental,2023-06-21,"Animation, Comédie, Famille",1h 42min,Peter Sohn,"John Hoberg, Kat Likkel","Adèle Exarchopoulos, Leah Lewis, Vincent Lacoste",U.S.A.,The Walt Disney Company France,Box Office France,426818,"3,5","3,9",93927.0,200000000.0
36,indiana jones and the dial of destiny,2023-06-28,"Action, Aventure",2h 34min,James Mangold,"James Mangold, John-Henry Butterworth","Harrison Ford, Phoebe Waller-Bridge, Mads Mikkelsen",U.S.A.,The Walt Disney Company France,Box Office France,1089875,"3,5","3,6",291164.0,300000000.0
37,dragon ball super: super hero,2022-10-05,"Animation, Arts Martiaux, Action, Fantastique",1h 39min,Tetsuro Kodama,Akira Toriyama,"Patrick Borg, Masako Nozawa, Mark Lesser",Japon,Sony Pictures Releasing France,Box Office France,218070,"3,0","2,7",153338.0,0.0
38,les misérables,2019-11-20,"Policier, Drame",1h 45min,Ladj Ly,"Ladj Ly, Giordano Gederlini","Damien Bonnard, Alexis Manenti, Djebril Zonga",France,Le Pacte,Box Office France,559378,"4,3","4,0",1555406.0,0.0
39,normale,2023-04-05,"Comédie dramatique, Drame, Comédie",1h 27min,Olivier Babinet,"Olivier Babinet, Juliette Sales","Benoît Poelvoorde, Justine Lacroix, Joseph Rozé",France,Haut et Court,Box Office France,12196,"3,6","3,2",104368.0,4000000.0
40,ant-man and the wasp: quantumania,2023-02-15,"Action, Aventure, Science fiction",2h 01min,Peyton Reed,Jeff Loveness,"Paul Rudd, Evangeline Lilly, Michael Douglas",U.S.A.,The Walt Disney Company France,Box Office France,735356,"2,3","2,5",281289.0,200000000.0
41,maestro(s),2022-12-07,Drame,1h 27min,Bruno Chiche,"Bruno Chiche, Yaël Langmann","Yvan Attal, Pierre Arditi,  Miou-Miou",France,Apollo Films / Orange Studio,Box Office France,111837,"3,0","3,1",40794.0,0.0
42,the batman,2022-03-02,"Action, Policier, Thriller",2h 57min,Matt Reeves,"Matt Reeves, Peter Craig","Robert Pattinson, Zoë Kravitz, Paul Dano",U.S.A.,Warner Bros. France,Box Office France,1165588,"3,9","4,1",330830.0,185000000.0
43,coco,2017-11-15,"Animation, Fantastique, Famille",1h 45min,Lee Unkrich,"Adrian Molina, Adrian Molina, Matthew Aldrich","Andrea Santamaria, Anthony Gonzalez (VIII), Benjamin Bratt",U.S.A.,The Walt Disney Company France,Box Office France,948846,"4,1","4,5",1508099.0,175000000.0
44,annie colère,2022-11-30,Comédie dramatique,2h 00min,Blandine Lenoir,"Blandine Lenoir, Axelle Ropert","Laure Calamy, Zita Hanrot, India Hair",France,Diaphana Distribution,Box Office France,68373,"3,8","4,0",159751.0,3500000.0
