,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
0,jeanne du barry,2023-05-16,"Drame, Historique, Romance",1h 56min,Maïwenn," Maïwenn, Teddy Lussi-Modeste"," Maïwenn, Johnny Depp, Benjamin Lavernhe",France,Le Pacte,Box Office France,356 152,"3,1","3,6",306952,0.0
1,le petit spirou,2017-09-27,"Comédie, Famille",1h 26min,Nicolas Bary,"Laurent Turner, Nicolas Bary","Sacha Pinault, Pierre Richard, François Damiens",France,La Belle Company / Apollo Films,Box Office France,224 512,"2,8","2,0",534117,9850941.0
3,les misérables,2019-11-20,"Policier, Drame",1h 45min,Ladj Ly,"Ladj Ly, Giordano Gederlini","Damien Bonnard, Alexis Manenti, Djebril Zonga",France,Le Pacte,Box Office France,559 378,"4,3","4,0",1555798,0.0
4,black adam,2022-10-19,"Action, Fantastique, Aventure",2h 05min,Jaume Collet-Serra,"Adam Sztykiel, Rory Haines","Dwayne Johnson, Aldis Hodge, Pierce Brosnan",U.S.A.,Warner Bros. France,Box Office France,713 308,"2,1","2,8",127921,200000000.0
5,the hunger games,2012-03-21,"Action, Drame, Science fiction",2h 22min,Gary Ross,"Gary Ross, Suzanne Collins","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",U.S.A.,Metropolitan FilmExport,Box Office France,509 426,"3,4","3,8",6032929,75000000.0
6,"simone, le voyage du siècle",2022-10-12,"Biopic, Drame",2h 20min,Olivier Dahan,Olivier Dahan,"Elsa Zylberstein, Rebecca Marder, Élodie Bouchez",France,Warner Bros. France,Box Office France,486 242,"3,1","4,1",228761,0.0
7,les algues vertes,2023-07-12,"Drame, Thriller",1h 47min,Pierre Jolivet,"Pierre Jolivet, Inès Léraud","Céline Sallette, Nina Meurisse, Julie Ferrier",France,Haut et Court,Box Office France,125 566,"3,5","4,0",36898,3700000.0
9,where the crawdads sing,2022-08-17,"Drame, Thriller",2h 05min,Olivia Newman,Lucy Alibar,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson",U.S.A.,Sony Pictures Releasing France,Box Office France,110 381,"2,6","4,0",116005,24000000.0
10,le processus de paix,2023-06-14,"Romance, Comédie dramatique",1h 32min,Ilan Klipper,"Ilan Klipper, Camille Chamoux","Camille Chamoux, Damien Bonnard, Ariane Ascaride",France,Le Pacte,Box Office France,34 918,"3,6","2,6",151934,0.0
11,une belle course,2022-09-21,"Comédie dramatique, Drame, Comédie",1h 31min,Christian Carion,Cyril Gely,"Line Renaud, Dany Boon, Alice Isaaz",France,Pathé,Box Office France,180 034,"3,1","3,9",69304,2900000.0
12,stillwater,2021-09-22,"Thriller, Drame",2h 20min,Tom McCarthy,"Tom McCarthy, Thomas Bidegain","Matt Damon, Camille Cottin, Abigail Breslin",U.S.A.,Universal Pictures International France,Box Office France,135 483,"3,3","3,6",208005,20000000.0
13,don't worry darling,2022-09-21,Thriller,2h 03min,Olivia Wilde,Katie Silberman,"Florence Pugh, Harry Styles, Chris Pine",U.S.A.,Warner Bros. France,Box Office France,151 272,"3,1","3,7",93212,35000000.0
14,barbaque,2021-10-27,Comédie,1h 28min,Fabrice Eboué,"Fabrice Eboué, Vincent Solignac","Fabrice Eboué, Marina Foïs, Nicolas Lumbreras",France,Apollo Films / TF1 Studio,Box Office France,126 252,"3,3","3,6",234743,0.0
15,zillion,2023-06-21,"Drame, Biopic",2h 18min,Robin Pront,Robin Pront,"Jonas Vermeulen, Matteo Simoni, Charlotte Timmers",Belgique,CGR EVENTS,Box Office France,278,"2,9","3,6",3458,7492030.0
16,the hunt,2020-06-22,"Action, Thriller",1h 31min,Craig Zobel,"Damon Lindelof, Nick Cuse","Betty Gilpin, Hilary Swank, Wayne Duvall",U.S.A.,Universal Pictures International France,Box Office France,19 864,"3,2","3,0",271060,14000000.0
17,pride and prejudice,2006-01-18,"Romance, Comédie",2h 09min,Joe Wright,"Deborah Moggach, Emma Thompson","Keira Knightley, Matthew Macfadyen, Rosamund Pike",U.S.A.,Mars Distribution,Box Office France,167 705,"3,8","4,0",525532,0.0
18,une femme de notre temps,2022-10-05,Drame,1h 36min,Jean Paul Civeyrac,Jean Paul Civeyrac,"Sophie Marceau, Johan Heldenbergh, Cristina Flutur",France,Rezo Films,Box Office France,13 090,"2,6","1,7",137853,2700000.0
19,il sol dell’avvenire,2023-06-28,"Comédie dramatique, Drame, Comédie",1h 35min,Nanni Moretti,"Francesca Marciano, Nanni Moretti","Nanni Moretti, Margherita Buy, Silvio Orlando",Italie,Le Pacte,Box Office France,91 786,"3,9","3,3",103252,13266839.0
20,the wolf of wall street,2013-12-25,"Biopic, Drame",2h 59min,Martin Scorsese,Terence Winter,"Leonardo DiCaprio, Jonah Hill, Margot Robbie",U.S.A.,Metropolitan FilmExport,Box Office France,1 013 324,"4,0","4,2",1501032,100000000.0
21,petit jésus,2023-07-12,Comédie,1h 35min,Julien Rigoulot,Julien Rigoulot,"Antoine Bertrand, Esteban Azuara Eymard, Gérard Darmon",France,Wild Bunch Distribution,Box Office France,13 176,"2,7","3,0",13072,3100000.0
22,the lost city of z,2017-03-15,Aventure,2h 21min,James Gray,James Gray,"Charlie Hunnam, Sienna Miller, Tom Holland",U.S.A.,StudioCanal,Box Office France,150 045,"4,5","3,9",661463,30000000.0
23,dungeons & dragons: honor among thieves,2023-04-12,"Fantastique, Aventure",2h 14min,Jonathan Goldstein (XII),"John Francis Daley, Jonathan Goldstein (XII), John Francis Daley","Chris Pine, Michelle Rodriguez, Regé-Jean Page",U.S.A.,Paramount Pictures France,Box Office France,420 168,"3,3","3,8",98181,151000000.0
24,the batman,2022-03-02,"Action, Policier, Thriller",2h 57min,Matt Reeves,"Matt Reeves, Peter Craig","Robert Pattinson, Zoë Kravitz, Paul Dano",U.S.A.,Warner Bros. France,Box Office France,1 165 588,"3,9","4,1",330861,185000000.0
25,en los márgenes,2023-07-05,Thriller,1h 43min,Juan Diego Botto,"Juan Diego Botto, Olga Rodríguez","Penélope Cruz, Luis Tosar, Christian Checa",Espagne,Condor Distribution,Box Office France,28 720,"3,6","3,5",211046,0.0
26,j'accuse,2019-11-13,"Drame, Historique, Thriller",2h 12min,Roman Polanski,"Robert Harris (II), Roman Polanski","Jean Dujardin, Louis Garrel, Emmanuelle Seigner",France,Gaumont Distribution,Box Office France,501 228,"4,0","3,8",747001,25300000.0
27,nezouh,2023-06-21,Drame,1h 43min,Soudade Kaadan,Soudade Kaadan,"Kinda Aloush, Hala Zein, Samir Almasri",Syrie,Pyramide Distribution,Box Office France,3 771,"3,0","3,0",70434,0.0
28,la dernière reine,2023-04-19,"Historique, Drame",1h 50min,Damien Ounouri,"Adila Bendimerad, Damien Ounouri, Adila Bendimerad","Adila Bendimerad, Dali Benssalah, Mohamed Tahar Zaoui",Algérie,Jour2fête,Box Office France,21 049,"3,8","4,1",124003,0.0
29,as bestas,2022-07-20,"Thriller, Drame",2h 17min,Rodrigo Sorogoyen,"Isabel Peña, Rodrigo Sorogoyen","Marina Foïs, Denis Ménochet, Luis Zahera",Espagne,Le Pacte,Box Office France,74 066,"4,2","4,1",266065,0.0
30,un homme heureux,2023-02-15,Comédie,1h 29min,Tristan Séguéla,"Guy Laurent, Isabelle Lazard","Fabrice Luchini, Catherine Frot, Philippe Katerine",France,Gaumont Distribution,Box Office France,233 008,"3,1","2,9",87100,0.0
31,the dark knight,2008-08-13,"Action, Thriller",2h 32min,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Christian Bale, Heath Ledger, Aaron Eckhart",U.S.A.,Warner Bros. France,Box Office France,1 271 688,"4,0","4,5",2161057,185000000.0
32,le bleu du caftan,2023-03-22,"Drame, Romance",2h 02min,Maryam Touzani,Maryam Touzani,"Lubna Azabal, Saleh Bakri, Ayoub Missioui",France,Ad Vitam,Box Office France,54 381,"3,8","4,3",141361,0.0
33,everything everywhere all at once,2022-08-31,"Action, Comédie, Drame, Science fiction, Arts Martiaux",2h 19min,Daniel Scheinert,"Daniel Kwan, Daniel Scheinert, Daniel Kwan","Michelle Yeoh, Ke Huy Quan, Jamie Lee Curtis",U.S.A.,Pathé Live,Box Office France,132 121,"3,9","3,5",310236,25000000.0
34,la nuit du verre d’eau,2023-06-14,"Drame, Romance",1h 23min,Carlos Chahine,Carlos Chahine,"Marilyne Naaman, Antoine Merheb Harb, Nathalie Baye",France,JHR Films / Jour2Fête,Box Office France,12 657,"2,6","3,6",119155,1200000.0
35,bullet train,2022-08-03,"Action, Thriller",2h 07min,David Leitch,Zak Olkewicz,"Brad Pitt, Joey King, Aaron Taylor-Johnson",U.S.A.,Sony Pictures Releasing France,Box Office France,491 067,"3,2","3,9",358989,90000000.0
36,mission: impossible - ghost protocol,2011-12-14,"Action, Espionnage, Thriller",2h 13min,Brad Bird,"Josh Appelbaum, André Nemec","Tom Cruise, Jeremy Renner, Simon Pegg",U.S.A.,Paramount Pictures France,Box Office France,827 046,"3,9","3,8",3059303,145000000.0
37,derb,2023-05-24,Drame,1h 30min,Hadi Mohaghegh,Hadi Mohaghegh,"Hadi Mohaghegh, Mohammad Eghbali",Iran,Bodega Films,Box Office France,8 528,"4,0","3,6",9886,0.0
38,mission: impossible iii,2006-05-03,"Action, Espionnage, Thriller",2h 06min,J.J. Abrams,"J.J. Abrams, Alex Kurtzman","Tom Cruise, Philip Seymour Hoffman, Ving Rhames",U.S.A.,United International Pictures (UIP),Box Office France,996 860,"3,3","3,3",969956,150000000.0
39,see how they run,2022-09-14,"Comédie, Policier",1h 38min,Tom George,Mark Chappell,"Sam Rockwell, Saoirse Ronan, Adrien Brody",Grande-Bretagne,The Walt Disney Company France,Box Office France,56 893,"2,8","2,9",31911,40000000.0
40,coco,2017-11-15,"Animation, Fantastique, Famille",1h 45min,Lee Unkrich,"Adrian Molina, Adrian Molina, Matthew Aldrich","Andrea Santamaria, Anthony Gonzalez (VIII), Benjamin Bratt",U.S.A.,The Walt Disney Company France,Box Office France,948 846,"4,1","4,5",1508194,175000000.0
41,wahou !,2023-06-07,Comédie,1h 30min,Bruno Podalydès,Bruno Podalydès,"Karin Viard, Bruno Podalydès, Sabine Azéma",France,UGC Distribution,Box Office France,95 610,"3,5","2,5",164047,0.0
42,novembre,2022-10-05,"Thriller, Policier",1h 47min,Cédric Jimenez,"Olivier Demangel, Cédric Jimenez","Jean Dujardin, Anaïs Demoustier, Sandrine Kiberlain",France,StudioCanal,Box Office France,592 681,"3,5","4,1",373770,17700000.0
43,vaincre ou mourir,2023-01-25,"Historique, Action",1h 40min,Vincent Mottez,"Paul Mignot, Vincent Mottez","Hugo Becker, Rod Paradot, Gilles Cohen",France,Saje Distribution,Box Office France,83 814,"1,3","3,9",173907,0.0
44,une histoire d'amour et de désir,2021-09-01,"Drame, Romance",1h 42min,Leyla Bouzid,Leyla Bouzid,"Sami Outalbali, Zbeida Belhajamor, Diong-Keba Tacu",France,Pyramide Distribution,Box Office France,16 502,"4,0","3,8",102150,0.0
45,the unbearable weight of massive talent,2022-04-20,"Action, Comédie",1h 48min,Tom Gormican,"Tom Gormican, Kevin Etten","Nicolas Cage, Pedro Pascal, Alessandra Mastronardi",U.S.A.,Metropolitan FilmExport,Box Office France,57 763,"3,1","3,1",162956,30000000.0
46,fifi,2023-06-14,Comédie dramatique,1h 48min,Jeanne Aslan,"Paul Saintillan, Jeanne Aslan, Paul Saintillan","Céleste Brunnquell, Quentin Dolmaire, Ilan Schermann",France,New Story,Box Office France,17 284,"3,6","3,9",131144,0.0
47,omar la fraise,2023-05-24,Drame,1h 32min,Elias Belkeddar,"Elias Belkeddar, Jérôme Pierrat","Reda Kateb, Benoît Magimel, Meriem Amiar",France,StudioCanal,Box Office France,140 144,"3,4","2,9",189168,5490000.0
48,gone girl,2014-10-08,"Thriller, Policier, Drame",2h 29min,David Fincher,Gillian Flynn,"Ben Affleck, Rosamund Pike, Neil Patrick Harris",U.S.A.,Twentieth Century Fox France,Box Office France,539 178,"4,0","4,3",1181695,61000000.0
49,sick of myself,2023-05-31,Comédie dramatique,1h 37min,Kristoffer Borgli,Kristoffer Borgli,"Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager",Norvège,Tandem,Box Office France,14 638,"3,4","3,4",87787,0.0
50,spider-man: into the spider-verse,2018-12-12,"Animation, Action, Famille",1h 57min,Bob Persichetti,"Peter Ramsey, Rodney Rothman, Phil Lord, Rodney Rothman","Stéphane Bak, Shameik Moore, Jake Johnson (XVI)",U.S.A.,Sony Pictures Releasing France,Box Office France,218 728,"4,2","4,4",622474,90000000.0
51,avatar: the way of water,2022-12-14,"Science fiction, Aventure, Fantastique, Action",3h 12min,James Cameron,"James Cameron, Rick Jaffa","Sam Worthington, Zoe Saldana, Sigourney Weaver",U.S.A.,The Walt Disney Company France,Box Office France,2 739 848,"4,1","4,2",927086,460000000.0
52,the pope's exorcist,2023-05-10,"Epouvante-horreur, Biopic, Fantastique",1h 43min,Julius Avery,"Evan Spiliotopoulos, Michael Petroni","Russell Crowe, Daniel Zovatto, Alex Essoe",U.S.A.,Sony Pictures Releasing France,Box Office France,155 555,"2,9","2,8",64244,18000000.0
53,love again,2023-06-07,"Comédie, Romance",1h 45min,Jim Strouse,Jim Strouse,"Priyanka Chopra Jonas, Sam Heughan, Céline Dion",U.S.A.,Sony Pictures Releasing France,Box Office France,36 242,"2,4","2,7",27397,9000000.0
54,"indiana jones and the kingdom of the crystal skull
",2008-05-21,"Aventure, Action",2h 03min,Steven Spielberg,"David Koepp, George Lucas","Harrison Ford, Shia LaBeouf, Karen Allen",U.S.A.,Paramount Pictures France,Box Office France,1 674 041,"3,0","3,1",2825542,185000000.0
55,marinette,2023-06-07,Biopic,1h 36min,Virginie Verrier,Virginie Verrier,"Garance Marillier, Emilie Dequenne, Alban Lenoir",France,The Jokers / Les Bookmakers,Box Office France,26 273,"3,0","3,8",104179,5500000.0
56,evil dead rise,2023-04-19,"Epouvante-horreur, Fantastique",1h 37min,Lee Cronin,Lee Cronin,"Lily Sullivan, Alyssa Sutherland, Morgan Davies",U.S.A.,Metropolitan FilmExport,Box Office France,235 926,"3,1","2,9",118494,15000000.0
57,farang,2023-06-28,Action,1h 39min,Xavier Gens,"Xavier Gens, Magali Rossito","Nassim Lyes, Loryn Nounay, Olivier Gourmet",France,StudioCanal,Box Office France,79 426,"3,4","3,7",223912,4920000.0
58,insidious: the red door,2023-07-05,"Epouvante-horreur, Fantastique",1h 48min,Patrick Wilson,Scott Teems,"Patrick Wilson, Rose Byrne, Ty Simpkins",U.S.A.,Sony Pictures Releasing France,Box Office France,306 107,"2,1","2,2",50006,16000000.0
59,l'innocent,2022-10-12,Comédie,1h 40min,Louis Garrel,"Louis Garrel, Tanguy Viel","Roschdy Zem, Anouk Grinberg, Noémie Merlant",France,Ad Vitam,Box Office France,192 906,"4,1","3,9",242551,4000000.0
60,antichrist,2009-06-03,"Thriller, Drame",1h 50min,Lars von Trier,Lars von Trier,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm",France,Les Films du Losange,Box Office France,63 719,"2,2","2,4",906381,11000000.0
61,asteroid city,2023-06-21,Comédie dramatique,1h 46min,Wes Anderson,Wes Anderson,"Jason Schwartzman, Scarlett Johansson, Tom Hanks",U.S.A.,Universal Pictures International France,Box Office France,117 498,"3,3","3,0",148311,25000000.0
62,deux moi,2019-09-11,Drame,1h 50min,Cédric Klapisch,"Cédric Klapisch, Santiago Amigorena","Ana Girardot, François Civil, Camille Cottin",France,StudioCanal,Box Office France,238 161,"3,7","3,5",970270,0.0
63,insidious,2011-06-15,Epouvante-horreur,1h 42min,James Wan,Leigh Whannell,"Patrick Wilson, Rose Byrne, Ty Simpkins",U.S.A.,Wild Bunch Distribution,Box Office France,193 688,"3,2","3,5",2472418,1500000.0
64,get out,2017-05-03,Thriller,1h 44min,Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener",U.S.A.,Universal Pictures International France,Box Office France,465 265,"4,0","4,0",1043115,4500000.0
66,yo mama,2023-07-05,Comédie,1h 37min,Leïla Sy,"Amadou Mariko, Amadou Mariko","Claudia Tagbo,  Zaho, Sophie-Marie Larrouy",France,Gaumont Distribution,Box Office France,78 717,"2,4","2,8",93944,0.0
67,triangle of sadness,2022-09-28,"Drame, Comédie",2h 29min,Ruben Östlund,Ruben Östlund,"Harris Dickinson, Charlbi Dean Kriek, Woody Harrelson",Suède,Bac Films,Box Office France,179 786,"3,2","3,8",498535,15600000.0
68,passages,2023-06-28,"Drame, Romance",1h 32min,Ira Sachs,"Ira Sachs, Maurício Zacharias","Franz Rogowski, Ben Whishaw, Adèle Exarchopoulos",France,SBS Distribution,Box Office France,11 227,"2,8","2,7",128459,0.0
69,retour chez ma mère,2016-06-01,Comédie,1h 31min,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Alexandra Lamy, Josiane Balasko, Mathilde Seigner",France,Pathé,Box Office France,643 863,"2,9","3,0",979945,8600000.0
70,ouistreham,2022-01-12,Drame,1h 47min,Emmanuel Carrère,"Emmanuel Carrère, Hélène Devynck","Juliette Binoche, Hélène Lambert, Léa Carne",France,Memento Distribution,Box Office France,126 975,"3,5","4,0",228786,0.0
71,pornomelancolía,2023-06-21,Drame,1h 34min,Manuel Abramovich,"Manuel Abramovich, Fernando Krapp","Lalo Santos,  Diablo, Brandon Ley",Argentine,Epicentre Films,Box Office France,3 611,"3,5","2,7",6895,0.0
72,dunkirk,2017-07-19,"Guerre, Historique, Drame",1h 47min,Christopher Nolan,Christopher Nolan,"Fionn Whitehead, Mark Rylance, Tom Hardy",U.S.A.,Warner Bros. France,Box Office France,925 204,"4,1","3,9",1283108,150000000.0
73,la sirène,2023-06-28,"Animation, Drame",1h 41min,Sepideh Farsi,Javad Djavahery,"Mina Kavani, Hadmidreza Djavdan",France,Bac Films,Box Office France,3 933,"3,5","3,7",85905,0.0
74,interstellar,2014-11-05,"Science fiction, Drame",2h 49min,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Matthew McConaughey, Anne Hathaway, Michael Caine",U.S.A.,Warner Bros. France,Box Office France,1 071 360,"3,8","4,5",2357047,165000000.0
75,mascarade,2022-11-01,Comédie dramatique,2h 14min,Nicolas Bedos,Nicolas Bedos,"Pierre Niney, Isabelle Adjani, François Cluzet",France,Pathé,Box Office France,295 895,"2,5","3,6",175856,14000000.0
76,terrible jungle,2020-07-29,"Aventure, Comédie",1h 31min,Hugo Benamozig,"David Caviglioli, Hugo Benamozig, David Caviglioli","Catherine Deneuve, Vincent Dedienne, Alice Belaïdi",France,Apollo Films,Box Office France,83 427,"3,7","2,0",149962,0.0
77,the super mario bros. movie,2023-04-05,"Animation, Famille, Comédie",1h 32min,Aaron Horvath,"Michael Jelenic, Matthew Fogel","Pierre Tessier, Chris Pratt, Jérémie Covillault",U.S.A.,Universal Pictures International France,Box Office France,1 866 914,"3,1","4,1",388285,100000000.0
78,l'amour et les forêts,2023-05-24,"Thriller, Drame",1h 45min,Valérie Donzelli,"Valérie Donzelli, Audrey Diwan","Virginie Efira, Melvil Poupaud, Dominique Reymond",France,Diaphana Distribution,Box Office France,220 327,"3,8","3,9",187122,0.0
79,ant-man and the wasp: quantumania,2023-02-15,"Action, Aventure, Science fiction",2h 01min,Peyton Reed,Jeff Loveness,"Paul Rudd, Evangeline Lilly, Michael Douglas",U.S.A.,The Walt Disney Company France,Box Office France,735 356,"2,3","2,5",281409,200000000.0
80,sage-homme,2023-03-15,Comédie dramatique,1h 40min,Jennifer Devoldere,"Jennifer Devoldere, Cécile Sellam","Karin Viard, Melvin Boomer, Steve Tientcheu",France,Warner Bros. France,Box Office France,279 606,"3,6","4,0",97261,5180000.0
81,38°5 quai des orfèvres,2023-06-21,"Comédie, Policier",1h 24min,Benjamin Lehrer,Benjamin Lehrer,"Didier Bourdon, Caroline Anglade, Yann Papin",France,KMBO,Box Office France,45 576,"2,3","1,6",165837,3700000.0
82,apaches,2023-03-29,"Drame, Historique, Policier",1h 35min,Romain Quirot,Romain Quirot,"Alice Isaaz, Niels Schneider, Rod Paradot",Belgique,Tandem,Box Office France,33 659,"2,8","2,9",118594,0.0
83,fumer fait tousser,2022-11-30,Comédie,1h 20min,Quentin Dupieux,Quentin Dupieux,"Gilles Lellouche, Vincent Lacoste, Anaïs Demoustier",France,Gaumont Distribution,Box Office France,87 446,"3,2","2,7",160072,6009575.0
84,spider-man: across the spider-verse,2023-05-31,"Animation, Action, Fantastique, Aventure",2h 21min,Joaquim Dos Santos,"Kemp Powers, Justin Thompson, Phil Lord, Christopher Miller","Stéphane Bak, Shameik Moore, Shirine Boutella",U.S.A.,Sony Pictures Releasing France,Box Office France,550 808,"4,1","4,5",320062,100000000.0
85,joy ride,2023-07-05,Comédie,1h 32min,Adele Lim,"Cherry Chevapravatdumrong, Teresa Hsiao","Stephanie Hsu, Ashley Park, Sherry Cola",U.S.A.,Metropolitan FilmExport,Box Office France,9 258,"2,9",--,5034,0.0
86,maestro(s),2022-12-07,Drame,1h 27min,Bruno Chiche,"Bruno Chiche, Yaël Langmann","Yvan Attal, Pierre Arditi,  Miou-Miou",France,Apollo Films / Orange Studio,Box Office France,111 837,"3,0","3,1",41027,0.0
88,king arthur: legend of the sword,2017-05-17,"Action, Aventure, Fantastique",2h 06min,Guy Ritchie,"Joby Harold, Guy Ritchie","Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law",U.S.A.,Warner Bros. France,Box Office France,362 905,"2,7","3,3",660290,175000000.0
89,astérix et obélix : l'empire du milieu,2023-02-01,"Aventure, Comédie",1h 52min,Guillaume Canet,"Guillaume Canet, Julien Hervé","Guillaume Canet, Gilles Lellouche, Marion Cotillard",France,Pathé,Box Office France,1 882 686,"2,4","1,8",413659,72000000.0
90,reste un peu,2022-11-16,Comédie,1h 33min,Gad Elmaleh,"Gad Elmaleh, Benjamin Charbit","Gad Elmaleh, Régine Elmaleh, David Elmaleh",France,StudioCanal,Box Office France,152 695,"3,7","3,3",203283,0.0
91,moka,2016-08-17,Drame,1h 30min,Frédéric Mermoud,"Frédéric Mermoud, Antonin Martin-Hilbert","Emmanuelle Devos, Nathalie Baye, David Clavel",France,Pyramide Distribution,Box Office France,85 331,"3,2","3,0",312926,0.0
92,green book,2019-01-23,"Drame, Biopic",2h 10min,Peter Farrelly,"Nick Vallelonga, Brian Hayes Currie","Viggo Mortensen, Mahershala Ali, Linda Cardellini",U.S.A.,Metropolitan FilmExport,Box Office France,288 777,"4,0","4,5",1391907,23000000.0
93,c’est mon homme,2023-04-05,Drame,1h 27min,Guillaume Bureau,Guillaume Bureau,"Leïla Bekhti, Karim Leklou, Louise Bourgoin",France,Bac Films,Box Office France,24 890,"3,1","2,7",129019,0.0
94,the gentlemen,2020-02-05,"Policier, Action",1h 53min,Guy Ritchie,Guy Ritchie,"Matthew McConaughey, Hugh Grant, Charlie Hunnam",U.S.A.,SND,Box Office France,238 040,"3,5","4,1",878110,22000000.0
95,whitney houston: i wanna dance with somebody,2022-12-21,"Biopic, Musical",2h 26min,Kasi Lemmons,Anthony McCarten,"Naomi Ackie, Stanley Tucci, Tamara Tunie",U.S.A.,Sony Pictures Releasing France,Box Office France,64 834,"2,5","3,5",54633,50000000.0
96,the bad guys,2022-04-06,"Animation, Comédie, Aventure, Famille",1h 40min,Pierre Perifel,"Etan Cohen, Hilary Winston","Pierre Niney, Sam Rockwell, Igor Gotesman",U.S.A.,Universal Pictures International France,Box Office France,259 472,"3,6","3,9",186985,80000000.0
97,mission: impossible - rogue nation,2015-08-12,"Action, Espionnage",2h 12min,Christopher McQuarrie,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg",U.S.A.,Paramount Pictures France,Box Office France,1 233 768,"3,7","3,9",851732,150000000.0
98,avatar,2009-12-16,"Science fiction, Aventure",2h 42min,James Cameron,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver",U.S.A.,The Walt Disney Company France,Box Office France,2 648 596,"4,3","4,3",4280602,237000000.0
99,la baleine et l'escargote,2020-10-21,"Animation, Famille",0h 40min,Max Lang,"Daniel Snaddon, Max Lang, Suzanne Lang (II)","Colette Sodoyez, Diana Rigg, Maia Baran",Grande-Bretagne,Les Films du Préau,Box Office France,40 156,"3,8","3,7",117096,0.0
100,transformers: rise of the beasts,2023-06-07,"Action, Science fiction",2h 08min,Steven Caple Jr.,"Jon Hoeber, Erich Hoeber","Anthony Ramos, Dominique Fishback, Luna Lauren Velez",U.S.A.,Paramount Pictures France,Box Office France,451 052,"2,8","3,0",162592,195000000.0
101,miraculous - le film,2023-07-05,"Animation, Action, Aventure, Comédie musicale",1h 39min,Jeremy Zag,"Jeremy Zag, Bettina López Mendoza","Anouck Hautbois, Benjamin Bollen, Antoine Tomé",France,SND,Box Office France,660 421,"2,7","2,7",183528,86000000.0
102,luise,2023-07-05,"Drame, Historique, Romance",1h 39min,Matthias Luthardt,"Sebastian Bleyl, Matthias Luthardt","Luise Aschenbrenner, Christa Théret, Leonard Kunz",France,Pyramide Distribution,Box Office France,1 215,"2,8","2,8",83679,0.0
103,alibi.com 2,2023-02-08,Comédie,1h 28min,Philippe Lacheau,"Philippe Lacheau, Pierre Lacheau","Philippe Lacheau, Élodie Fontan, Tarek Boudali",France,StudioCanal,Box Office France,1 017 788,"3,0","3,9",587346,0.0
104,une nuit,2023-07-05,"Romance, Drame",1h 30min,Alex Lutz,"Alex Lutz, Karin Viard","Alex Lutz, Karin Viard, Jérôme Pouly",France,StudioCanal,Box Office France,58 679,"3,2","3,4",165192,0.0
106,x,2022-11-02,Epouvante-horreur,1h 45min,Ti West,Ti West,"Mia Goth, Jenna Ortega, Martin Henderson",U.S.A.,Kinovista,Box Office France,31 224,"3,9","3,0",307904,10000000.0
107,plancha,2022-10-26,Comédie,1h 38min,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Lambert Wilson, Franck Dubosc, Guillaume De Tonquédec",France,StudioCanal,Box Office France,271 193,"2,1","2,3",223757,0.0
108,marcel the shell with shoes on,2023-06-14,"Animation, Comédie, Famille",1h 30min,Dean Fleischer-Camp,"Dean Fleischer-Camp, Nick Paley","Jenny Slate, Dean Fleischer-Camp, Isabella Rossellini",U.S.A.,L'Atelier Distribution,Box Office France,7 514,"3,8","4,0",16784,0.0
109,carmen,2023-06-14,"Drame, Romance",1h 56min,Benjamin Millepied,"Benjamin Millepied, Loïc Barrère","Paul Mescal, Melissa Barrera, Rossy de Palma",Australie,Pathé,Box Office France,24 397,"2,5","3,4",17346,0.0
110,mission impossible - fallout,2018-08-01,"Action, Espionnage",2h 28min,Christopher McQuarrie,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames",U.S.A.,Paramount Pictures France,Box Office France,1 169 669,"3,8","4,0",732995,178000000.0
111,sauver ou périr,2018-11-28,Drame,1h 56min,Frédéric Tellier,"David Oelhoffen, Frédéric Tellier","Pierre Niney, Anaïs Demoustier, Chloé Stefani",France,Mars Films,Box Office France,338 929,"3,3","4,1",906843,0.0
112,toi non plus tu n'as rien vu,2023-03-08,"Drame, Thriller, Judiciaire",1h 33min,Beatrice Pollet,Beatrice Pollet,"Maud Wyler, Géraldine Nakache, Grégoire Colin",France,Jour2fête,Box Office France,4 869,"3,0","3,3",98973,0.0
113,cinderella,2015-03-25,"Fantastique, Romance",1h 44min,Kenneth Branagh,Chris Weitz,"Lily James, Cate Blanchett, Richard Madden",U.S.A.,The Walt Disney Company France,Box Office France,636 418,"3,0","3,5",818007,2900000.0
